"Species_fishbase","a","b","Species_name","Family","Trophic_group","Target","Trophic_guild","Trophic_level","Length_max"
"Anyperodon leucogrammicus",0.012822,3.169212,"Anyperodon_leucogrammicus","Serranidae","Piscivore",3,"Piscivore",3.94,65
"Atule mate",0.0309266666666667,3.00866666666667,"Atule_mate","Carangidae","Piscivore",2.83,"Piscivore",3.27,30
"Balistoides viridescens",0.04701,2.97364,"Balistoides_viridescens","Balistidae","Invertivore",1.3,"Macroinvertivore",3.33,75
"Carangoides bajad",0.01657,2.87833333333333,"Carangoides_bajad","Carangidae","Piscivore",2.83,"Piscivore",3.97,55
"Carangoides ferdau",0.01995,2.95,"Carangoides_ferdau","Carangidae","Piscivore",2.83,"Piscivore",3.98,70
"Caranx melampygus",0.0242572727272727,2.95045363636364,"Caranx_melampygus","Carangidae","Piscivore",2.83,"Piscivore",4.28,117
"Cephalopholis boenak",0.02016,3.01087857142857,"Cephalopholis_boenak","Serranidae","Piscivore",3,"Piscivore",3.83,30
"Cephalopholis cyanostigma",0.0266666666666667,2.90466666666667,"Cephalopholis_cyanostigma","Serranidae","Piscivore",3,"Piscivore",4.17,40
"Cephalopholis microprion",0.0228,3.13,"Cephalopholis_microprion","Serranidae","Piscivore",3,"Crustacivore",4,25
"Cetoscarus ocellatus",0.0276,2.92,"Cetoscarus_ocellatus","Labridae (Scarinae)","Herbivore-Detritivore",1.7,"Herbivore",2,80
"Cheilinus chlorourus",0.029704,2.90283,"Cheilinus_chlorourus","Labridae","Invertivore",1.5,"Crustacivore",3.46,45
"Cheilinus fasciatus",0.02949,2.964,"Cheilinus_fasciatus","Labridae","Invertivore",1.5,"Crustacivore",3.37,40
"Cheilinus trilobatus",0.0423216666666667,2.825245,"Cheilinus_trilobatus","Labridae","Invertivore",1.5,"Macroinvertivore",3.92000007629395,45
"Cheilinus undulatus",0.015862,3.05404,"Cheilinus_undulatus","Labridae","Invertivore",1.5,"Macroinvertivore",3.99,229
"Chlorurus bleekeri",0.0415,2.946,"Chlorurus_bleekeri","Labridae (Scarinae)","Herbivore-Detritivore",1.7,"Herbivore",2,49
"Chlorurus japanensis",0.01445,3.02,"Chlorurus_japanensis","Labridae (Scarinae)","Herbivore-Detritivore",1.7,"Herbivore",2,46.2000007629395
"Chlorurus sordidus",0.0205916666666667,3.08705166666667,"Chlorurus_sordidus","Labridae (Scarinae)","Omnivore",1.7,"Herbivore",2.62,40
"Choerodon anchorago",0.0255333333333333,3.00366666666667,"Choerodon_anchorago","Labridae","Invertivore",1.5,"Macroinvertivore",3.32,50
"Choerodon schoenleinii",0.0167825,3.052725,"Choerodon_schoenleinii","Labridae","Invertivore",1.5,"Macroinvertivore",3.38,100
"Chromileptes altivelis",0.0412633333333333,3.01642666666667,"Cromileptes_altivelis","Serranidae","Piscivore",3,"Crustacivore",4.5,70
"Diagramma melanacrum",0.0182,3.06,"Diagramma_melanacra","Haemulidae","Invertivore",2.5,"Macroinvertivore",3.6,45
"Diagramma pictum",0.010102,3.073512,"Diagramma_pictum","Haemulidae","Invertivore",2.5,"Macroinvertivore",3.39,100
"Epinephelus coioides",0.016562,3.045259,"Epinephelus_coioides","Serranidae","Piscivore",3,"Piscivore",3.95,120
"Epinephelus merra",0.01275875,3.10392,"Epinephelus_merra","Serranidae","Piscivore",3,"Crustacivore",4.38,36.5
"Epinephelus ongus",0.0173725,3.01095,"Epinephelus_ongus","Serranidae","Piscivore",3,"Crustacivore",4,40
"Gnathanodon speciosus",0.0603236363636364,2.80207818181818,"Gnathanodon_speciosus","Carangidae","Piscivore",2.83,"Piscivore",3.84,120
"Hemigymnus fasciatus",0.023005,3,"Hemigymnus_fasciatus","Labridae","Invertivore",1.5,"Planktivore",3.5,30
"Hemigymnus melapterus",0.0229925,2.970655,"Hemigymnus_melapterus","Labridae","Invertivore",1.5,"Microinvertivore",3.55,39.5999984741211
